ID;Species;WMUpdating;WMBoxes;WMGrid;SD;Reversal;CD_all;EDS;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
56;Children;0.666666667;0.75;0.7497285;0.8;0.8;0.458;;0.71;0.91;0.916666667;0.916666667;0.833
58;Children;1;0.5;0.8517517;0.69;0.86;0.9;0.58;0.78;0.55;0.833333333;0.75;0.5
59;Children;0.666666667;0.75;0.8558681;0.78;0.78;0.875;0.94;0.73;0.91;0.916666667;1;0.5
60;Children;0.833333333;0.375;0.707985;0.54;;0.375;;0.73;0.64;0.916666667;0.166666667;0.667
62;Children;0.666666667;0.375;0.7307323;0.78;0.76;0.75;0.67;0.56;0.27;0.916666667;0.333333333;0.5
64;Children;0.666666667;0.75;0.7061291;0.58;;0.458;;1;0.64;0.583333333;0.5;0.833
65;Children;1;0.25;0.8000699;0.46;;0.857;;0.77;0.18;0.75;0.333333333;0.5
66;Children;0.666666667;0.5;0.8150999;0.75;0.65;0.5;;0.7;0.36;0.333333333;;0.833
67;Children;0.5;0.75;0.7117362;0.88;;0.474;;0.88;0.36;;0.416666667;0.833
68;Children;1;0.5;0.7769573;0.73;0.86;0.375;;0.47;0;0.833333333;0.916666667;0.833
69;Children;1;0.5;0.7252755;0.73;0.77;0.667;;0.71;0.36;0;0.416666667;0.333
70;Children;1;0.5;0.610961;0.71;0.82;0.826;0.92;0.73;0.55;0.75;1;0.5
71;Children;0.833333333;0.125;0.7593017;0.7;0.75;0.375;;0.9;0.55;0;0.75;0
72;Children;0.833333333;0.5;0.8844375;0.88;0.8;0.292;;0.75;0.82;0.833333333;0.916666667;0.5
73;Children;0.833333333;0.625;0.66176;0.73;0.54;0.5;;0.83;0.45;0.666666667;0.75;0.833
74;Children;1;0.125;0.5845549;0.86;0.75;0.5;;0.86;0.64;0.916666667;0.416666667;0.167
75;Children;0.666666667;0.25;0.8735237;0.46;;0.417;;0.8;0.36;0.916666667;;0.667
76;Children;1;0.5;0.726616;0.82;0.67;0.583;;0.88;0.55;0.75;1;0
77;Children;1;0.375;0.7211591;0.75;0.7;0.333;;0.75;0.45;0.75;0.666666667;0.667
78;Children;1;0.5;;0.71;0.86;0.292;;0.67;0.82;;0.916666667;0.5
79;Children;1;0.625;0.7904967;0.71;0.58;0.875;0.83;0.82;0.82;0.833333333;0.916666667;0.667
80;Children;0.666666667;0.25;0.6800836;0.77;0.53;0.333;;0.86;0.45;0.916666667;0.25;0.667
