Trial;Mean_CumulativeProportionCorrect;SD_CumulativeProportionCorrect
1;0.73;0.44
2;0.55;0.34
3;0.57;0.27
4;0.54;0.23
5;0.53;0.22
6;0.56;0.2
7;0.51;0.17
8;0.51;0.17
9;0.49;0.16
10;0.5;0.15
11;0.5;0.14
12;0.49;0.14
13;0.49;0.13
14;0.49;0.11
15;0.48;0.11
16;0.48;0.1
17;0.48;0.1
18;0.49;0.1
19;0.49;0.1
20;0.48;0.1
21;0.47;0.1
22;0.47;0.11
23;0.47;0.11
24;0.47;0.09
