Trial;Mean_CumulativeProportionCorrect;SD_CumulativeProportionCorrect
1;0.54;0.5
2;0.53;0.33
3;0.56;0.28
4;0.6;0.22
5;0.63;0.2
6;0.66;0.19
7;0.65;0.17
8;0.64;0.17
9;0.63;0.16
10;0.62;0.15
11;0.6;0.15
12;0.58;0.15
13;0.58;0.14
14;0.57;0.13
15;0.58;0.13
16;0.58;0.12
17;0.58;0.12
18;0.56;0.12
19;0.55;0.11
20;0.55;0.11
21;0.54;0.1
22;0.54;0.1
23;0.53;0.08
24;0.52;0.09
