Trial;Mean_CumulativeProportionCorrect;SD_CumulativeProportionCorrect
1;0.72;0.45
2;0.58;0.36
3;0.57;0.27
4;0.54;0.24
5;0.54;0.22
6;0.56;0.2
7;0.51;0.17
8;0.5;0.16
9;0.49;0.15
10;0.49;0.15
11;0.49;0.14
12;0.49;0.13
13;0.49;0.13
14;0.48;0.12
15;0.48;0.11
16;0.48;0.1
17;0.47;0.1
18;0.48;0.09
19;0.48;0.1
20;0.48;0.1
21;0.47;0.1
22;0.47;0.1
23;0.47;0.1
24;0.46;0.09
