ID;Phase;Proportion_Correct
91;Simple Discrimination;0.857
91;Reversal;0.750
91;Compound Discrimination;0.417
92;Simple Discrimination;0.778
92;Reversal;0.778
92;Compound Discrimination;0.500
93;Simple Discrimination;0.727
93;Reversal;0.533
93;Compound Discrimination;0.542
94;Simple Discrimination;0.778
94;Reversal;0.773
94;Compound Discrimination;0.458
95;Simple Discrimination;0.750
95;Reversal;0.714
95;Compound Discrimination;0.417
96;Simple Discrimination;0.727
96;Reversal;0.583
96;Compound Discrimination;1.000
96;EDS;0.944
97;Simple Discrimination;0.750
97;Reversal;0.300
97;Compound Discrimination;0.375
98;Simple Discrimination;0.857
98;Reversal;0.571
98;Compound Discrimination;0.688
99;Simple Discrimination;0.875
99;Reversal;0.714
99;Compound Discrimination;0.542
100;Simple Discrimination;0.778
100;Reversal;0.750
100;Compound Discrimination;0.208
101;Simple Discrimination;0.750
101;Reversal;0.700
101;Compound Discrimination;0.875
101;EDS;0.926
102;Simple Discrimination;0.588
102;Reversal;0.542
102;Compound Discrimination;0.583
103;Simple Discrimination;0.857
103;Reversal;0.769
103;Compound Discrimination;0.500
104;Simple Discrimination;0.727
104;Reversal;0.778
104;Compound Discrimination;0.818
104;EDS;0.694
105;Simple Discrimination;0.769
105;Reversal;0.857
105;Compound Discrimination;0.458
106;Simple Discrimination;0.625
106;Reversal;0.714
106;Compound Discrimination;0.625
107;Simple Discrimination;0.500
107;Compound Discrimination;0.565
107;EDS;0.583
108;Simple Discrimination;0.500
108;Compound Discrimination;0.583
108;EDS;0.917
109;Simple Discrimination;0.375
109;Compound Discrimination;0.500
110;Simple Discrimination;0.625
110;Compound Discrimination;0.727
110;EDS;0.639
111;Simple Discrimination;0.778
111;Reversal;0.833
111;Compound Discrimination;0.500
112;Simple Discrimination;0.542
112;Compound Discrimination;0.375
113;Simple Discrimination;0.727
113;Reversal;0.714
113;Compound Discrimination;0.375
114;Simple Discrimination;0.769
114;Reversal;0.813
114;Compound Discrimination;0.542
115;Simple Discrimination;0.769
115;Reversal;0.765
115;Compound Discrimination;0.500
116;Simple Discrimination;0.800
116;Reversal;0.458
116;Compound Discrimination;0.500
116;EDS;0.944
117;Simple Discrimination;0.857
117;Reversal;0.750
117;Compound Discrimination;0.875
117;EDS;0.667
118;Simple Discrimination;0.375
118;Compound Discrimination;0.583
119;Simple Discrimination;0.857
119;Reversal;0.611
119;Compound Discrimination;0.643
119;EDS;0.944
120;Simple Discrimination;0.778
120;Reversal;0.857
120;Compound Discrimination;0.375
121;Simple Discrimination;0.625
121;Compound Discrimination;0.800
121;EDS;0.917
122;Simple Discrimination;0.900
122;Reversal;0.737
122;Compound Discrimination;0.458
123;Simple Discrimination;0.750
123;Reversal;0.700
123;Compound Discrimination;0.375
124;Simple Discrimination;1.000
124;Reversal;0.571
124;Compound Discrimination;0.542
124;EDS;0.806
125;Simple Discrimination;0.375
125;Compound Discrimination;0.458
127;Simple Discrimination;0.789
127;Reversal;0.769
127;Compound Discrimination;0.583
129;Simple Discrimination;0.583
129;Compound Discrimination;0.429
130;Simple Discrimination;0.542
130;Compound Discrimination;0.542
131;Simple Discrimination;0.636
131;Reversal;0.750
132;Simple Discrimination;0.727
132;Reversal;0.857
132;Compound Discrimination;0.500
133;Simple Discrimination;1.000
133;Reversal;0.700
133;Compound Discrimination;1.000
133;EDS;1.000
144;Simple Discrimination;0.800
144;Reversal;0.778
144;Compound Discrimination;0.542
145;Simple Discrimination;1.000
145;Reversal;0.857
145;Compound Discrimination;1.000
145;EDS;0.889
146;Simple Discrimination;0.778
146;Reversal;0.857
146;Compound Discrimination;0.375
147;Simple Discrimination;0.857
147;Reversal;0.625
147;Compound Discrimination;0.583
148;Simple Discrimination;0.875
148;Reversal;0.600
148;Compound Discrimination;0.700
148;EDS;0.972
149;Simple Discrimination;0.778
149;Reversal;0.727
149;Compound Discrimination;0.417
150;Simple Discrimination;0.733
150;Reversal;0.857
150;Compound Discrimination;0.375
151;Simple Discrimination;0.542
151;Compound Discrimination;0.542
152;Simple Discrimination;0.889
152;Reversal;0.700
152;Compound Discrimination;0.583
153;Simple Discrimination;0.625
153;Compound Discrimination;1.000
153;EDS;0.833
154;Simple Discrimination;0.778
154;Reversal;0.857
154;Compound Discrimination;0.857
154;EDS;0.958
155;Simple Discrimination;0.773
155;Reversal;0.857
155;Compound Discrimination;0.692
155;EDS;0.806
156;Simple Discrimination;0.909
156;Reversal;0.857
156;Compound Discrimination;0.458
157;Simple Discrimination;1.000
157;Reversal;0.857
157;Compound Discrimination;0.583
158;Simple Discrimination;0.818
158;Reversal;0.846
158;Compound Discrimination;0.375
159;Simple Discrimination;0.857
159;Reversal;0.857
159;Compound Discrimination;0.417
160;Simple Discrimination;1.000
160;Reversal;0.857
160;Compound Discrimination;0.333
161;Simple Discrimination;0.875
161;Reversal;0.542
161;Compound Discrimination;0.375
162;Simple Discrimination;0.889
162;Reversal;0.591
162;Compound Discrimination;0.375
163;Simple Discrimination;1.000
163;Reversal;0.778
164;Simple Discrimination;0.857
164;Reversal;0.857
164;Compound Discrimination;0.542
165;Simple Discrimination;1.000
165;Reversal;0.857
165;Compound Discrimination;1.000
165;EDS;0.889
166;Simple Discrimination;1.000
166;Reversal;0.727
166;Compound Discrimination;0.417
