Trial;Mean_CumulativeProportionCorrect;SD_CumulativeProportionCorrect
1;0.06;0.24
2;0.37;0.26
3;0.49;0.21
4;0.54;0.21
5;0.6;0.18
6;0.63;0.18
7;0.65;0.18
8;0.61;0.15
9;0.61;0.15
10;0.62;0.15
11;0.61;0.15
12;0.6;0.15
13;0.61;0.15
14;0.6;0.15
15;0.6;0.16
16;0.59;0.15
17;0.59;0.15
18;0.57;0.15
19;0.56;0.14
20;0.56;0.14
21;0.54;0.13
22;0.57;0.11
23;0.54;0.08
24;0.54;0.09
