Trial.nr;Mean_proportionCorrect;SD_ProportionCorrect
1;0.59;0.49
2;0.6;0.37
3;0.59;0.3
4;0.59;0.27
5;0.6;0.24
6;0.6;0.23
7;0.59;0.2
8;0.57;0.2
