ID ;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;AdditionalSupportNeeds;Mediansplit_midtesting_entiresample;Dropout;Reason_Dropout;StoppedEarly;Warm-up.Crit.reached;Trial_Nr;Success;Trial_correct;CumulativeNrCorrectSearches;CumulativeProportionCorrect;Nr.AdministeredTestTrials;Test.NrCorrectTrials;Test.NrErrors;Sanitycheck.NrTrials;ProportionCorrect;Video;Comment;PC1;PC2
29;f;49;4;50;4;no;old;no;;no;yes, within 2 trials;5;yes;1;1;0.2;8;3;5;8;0.375;ID29_AdditionalTask_Foil_f_4y;"Q1: ""cup""";;
29;f;49;4;50;4;no;old;no;;no;yes, within 2 trials;6;yes;1;2;0.333333333;8;3;5;8;0.375;ID29_AdditionalTask_Foil_f_4y;"Q1: ""cup""";;
29;f;49;4;50;4;no;old;no;;no;yes, within 2 trials;7;no;0;2;0.285714286;8;3;5;8;0.375;ID29_AdditionalTask_Foil_f_4y;"Q1: ""cup""";;
29;f;49;4;50;4;no;old;no;;no;yes, within 2 trials;8;yes;1;3;0.375;8;3;5;8;0.375;ID29_AdditionalTask_Foil_f_4y;"Q1: ""cup""";;
30;m;51;4;52;4;no;old;no;;no;yes, within 2 trials;1;no;0;0;0;8;5;3;8;0.625;ID30_AdditionalTask_Foil_m_4y;forgot to ask;;
30;m;51;4;52;4;no;old;no;;no;yes, within 2 trials;2;yes;1;1;0.5;8;5;3;8;0.625;ID30_AdditionalTask_Foil_m_4y;;;
30;m;51;4;52;4;no;old;no;;no;yes, within 2 trials;3;yes;1;2;0.666666667;8;5;3;8;0.625;ID30_AdditionalTask_Foil_m_4y;;;
30;m;51;4;52;4;no;old;no;;no;yes, within 2 trials;4;yes;1;3;0.75;8;5;3;8;0.625;ID30_AdditionalTask_Foil_m_4y;;;
30;m;51;4;52;4;no;old;no;;no;yes, within 2 trials;5;no;0;3;0.6;8;5;3;8;0.625;ID30_AdditionalTask_Foil_m_4y;;;
30;m;51;4;52;4;no;old;no;;no;yes, within 2 trials;6;no;0;3;0.5;8;5;3;8;0.625;ID30_AdditionalTask_Foil_m_4y;;;
30;m;51;4;52;4;no;old;no;;no;yes, within 2 trials;7;yes;1;4;0.571428571;8;5;3;8;0.625;ID30_AdditionalTask_Foil_m_4y;;;
30;m;51;4;52;4;no;old;no;;no;yes, within 2 trials;8;yes;1;5;0.625;8;5;3;8;0.625;ID30_AdditionalTask_Foil_m_4y;;;
31;f;44;3;44;3;no;young;no;;no;yes, within 2 trials;1;no;0;0;0;8;3;5;8;0.375;no video;;;
31;f;44;3;44;3;no;young;no;;no;yes, within 2 trials;2;yes;1;1;0.5;8;3;5;8;0.375;no video;;;
31;f;44;3;44;3;no;young;no;;no;yes, within 2 trials;3;yes;1;2;0.666666667;8;3;5;8;0.375;no video;;;
31;f;44;3;44;3;no;young;no;;no;yes, within 2 trials;4;yes;1;3;0.75;8;3;5;8;0.375;no video;;;
31;f;44;3;44;3;no;young;no;;no;yes, within 2 trials;5;no;0;3;0.6;8;3;5;8;0.375;no video;;;
