Trial.nr;Mean_ProportionCorrect;SD_ProportionCorrect
1;0.48;0.5
2;0.53;0.44
3;0.58;0.38
4;0.59;0.37
5;0.6;0.34
6;0.61;0.34
7;0.62;0.33
8;0.63;0.33
9;0.64;0.31
10;0.64;0.3
11;0.64;0.29
12;0.63;0.28
