ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;TestingLocation;WMUpdating;WMBoxes;WMGrid;CD_all;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
94;f;47;3;young;Fife;0.5;0.5;0.5919648;0.458;0.64;0.18;0.916666667;0.333333333;0.333
95;f;47;3;young;Fife;0.833333333;0.25;0.7252755;0.417;0.73;0.55;0.916666667;0.583333333;0
96;m;56;4;old;Fife;0.833333333;0.375;0.7824142;1.000;0.63;0.55;0.833333333;0.833333333;0.833
97;m;55;4;old;Fife;0.833333333;0.375;0.8421785;0.375;0.78;0.55;0;0.416666667;0.167
100;m;59;4;old;Fife;1;0.25;0.8096431;0.208;0.65;0.64;0.916666667;0.416666667;0.667
101;m;53;4;old;Edinburgh;0.666666667;0.625;0.8844375;0.875;0.75;0.82;0.833333333;0.25;0.833
102;m;49;4;young;Edinburgh;0.833333333;0.375;0.8383493;0.583;0.63;0.73;0.833333333;1;0.833
103;m;51;4;old;Edinburgh;0.666666667;0.75;0.732438;0.5;0.75;0.82;0.833333333;1;0.5
104;m;49;4;young;Edinburgh;0.833333333;0.75;0.7497285;0.818;0.79;0.64;0.833333333;0.916666667;0.5
106;f;47;3;young;Edinburgh;0.833333333;0.375;0.7579612;0.625;0.75;0.09;0.5;0.666666667;0.667
107;f;53;4;old;Edinburgh;0.666666667;0.625;0.6600543;0.565;0.56;0.27;0.5;0.333333333;0.667
108;f;58;4;old;Edinburgh;0.5;0.375;0.9306625;0.583;0.75;1;0.916666667;0.916666667;0.667
109;m;42;3;young;Edinburgh;0.5;0.625;0.5828492;0.5;0.56;0.36;0.5;0.5;0.333
110;f;43;3;young;Edinburgh;0.833333333;0.75;0.8748642;0.727;0.89;0.73;0.5;0.583333333;0.167
111;f;47;3;young;Edinburgh;0.666666667;0.625;0.7632678;0.5;0.57;0.27;0.75;0.916666667;0.5
112;f;48;4;young;Edinburgh;0.833333333;0.375;0.6164179;0.375;0.75;0.36;0.5;0.25;0.833
113;m;47;3;young;Edinburgh;0.833333333;0.625;0.8327556;0.375;0.75;0.64;0.833333333;0.909090909;0.667
114;m;49;4;young;Edinburgh;0.666666667;0.625;0.6967061;0.542;0.77;0.18;0.833333333;0.916666667;0.667
115;f;45;3;young;Edinburgh;0.833333333;0.75;0.7126048;0.5;0.59;0.18;0.666666667;0.916666667;1.000
116;f;61;5;old;Fife;0.833333333;0.625;0.7538448;0.5;0.64;0.64;0.833333333;0.833333333;0.667
118;f;64;5;old;Fife;0.666666667;0.75;0.90755;0.583;1;1;0.833333333;0.916666667;0.5
119;f;61;5;old;Fife;0.666666667;0.375;0.732438;0.643;0.8;1;0.833333333;1;0.5
121;f;60;5;old;Fife;0.833333333;0.625;0.8096431;0.8;0.81;0.45;0.916666667;0.833333333;0.667
122;f;54;4;old;Fife;1;0.625;0.8231824;0.458;0.73;0.55;0.75;0.833333333;0.5
124;m;52;4;old;Fife;0.5;0.625;0.804036;0.542;0.86;0.55;0.75;0.416666667;0.5
130;f;46;3;young;Fife;0.666666667;0.375;0.7211591;0.542;0.86;0.64;0;0.666666667;0.5
133;f;64;5;old;Fife;0.5;0.75;0.7361892;1.000;0.86;0.91;0.916666667;1;0.667
144;m;46;3;young;Edinburgh;0.833333333;0.625;0.778663;0.542;0.86;0.36;0.833333333;0.5;0
145;f;56;4;old;Edinburgh;1;0.375;0.8382124;1.000;0.77;0.91;0.916666667;1;0.167
146;m;53;4;old;Edinburgh;0.666666667;0.75;0.6422484;0.375;0.88;0.55;0.75;0.916666667;0.333
147;f;44;3;young;Edinburgh;0.666666667;0.375;0.7959535;0.583;0.78;0.73;0.916666667;0.166666667;0.833
148;f;45;3;young;Edinburgh;0.666666667;0.875;0.8598342;0.7;1;0.91;0.916666667;0.25;0.5
149;f;58;4;old;Edinburgh;0.833333333;0.5;0.7673841;0.417;0.78;0.45;0.833333333;0.25;0.5
150;m;58;4;old;Edinburgh;0.833333333;0.375;0.8286392;0.375;0.76;0.36;0.916666667;1;1.000
151;f;58;4;old;Edinburgh;1;0.5;0.90755;0.542;0.47;0.91;0.916666667;1;0.833
152;f;48;4;young;Edinburgh;0.833333333;1;0.7211591;0.583;0.65;0.55;0.916666667;0.333333333;0.5
153;f;49;4;young;Edinburgh;0.833333333;0.375;0.8517517;1.000;1;1;0.833333333;1;0
156;m;57;4;old;Edinburgh;0.666666667;0.625;0.865291;0.458;0.75;0.55;0.583333333;0.833333333;1.000
157;m;54;4;old;Edinburgh;0.666666667;0.625;0.7756168;0.583;1;1;0.833333333;0.416666667;0.5
158;m;58;4;old;Edinburgh;1;0.5;0.8979768;0.375;1;0.73;0.916666667;0.833333333;1.000
159;m;46;3;young;Edinburgh;0.666666667;0.75;0.865291;0.417;0.9;0.91;0.5;0.916666667;0.333
160;f;57;4;old;Edinburgh;0.666666667;0.625;0.7768071;0.333;0.86;1;1;0.916666667;1.000
161;f;46;3;young;Edinburgh;0.666666667;0.25;0.8058919;0.375;0.71;0.09;0.916666667;0.916666667;0.5
162;m;46;3;young;Edinburgh;0.666666667;0.5;0.7959535;0.375;0.71;0.36;0.75;0.25;0.667
164;m;55;4;old;Edinburgh;0.666666667;0.625;0.6997523;0.542;0.65;0.91;0.916666667;0.833333333;0.667
165;f;55;4;old;Edinburgh;0.666666667;0.75;0.7824142;1.000;0.86;0.91;0.833333333;0.916666667;0.167
166;m;52;4;old;Edinburgh;0.666666667;0.625;0.613679;0.417;0.73;0.64;0.666666667;0.083333333;0.167
