Trial.nr;Mean_proportionCorrect;SD_ProportionCorrect
1;11.9;32.51
2;36.11;28.73
3;43.65;29.95
4;51.59;28.06
5;58.09;27.06
6;62.17;26.37
7;64.96;25.91
8;67.26;25.39
9;69.4;24.53
10;70.95;24.54
11;72.8;24.13
12;74.14;23.89
