Trial;Mean_T2b_ChoseWrongLevel;SD_T2b_ChoseWrongLevel
1;0.144;0.352
2;0.102;0.303
3;0.042;0.201
4;0.168;0.375
5;0.126;0.332
6;0.048;0.214
7;0.078;0.27
8;0.083;0.278
9;0.185;0.392
10;0.073;0.264
11;0.108;0.315
12;0.091;0.292
13;0.037;0.192
14;0;0
15;0.231;0.438
16;0;0
17;0.143;0.378
18;0.286;0.488
19;0.167;0.408
20;0;0
21;0;0
22;0.2;0.447
23;0.2;0.447
24;0;0
25;0;0
26;0;0
27;0;
28;0;
29;0;
30;0;
