ID;Proportion_CorrectTrials;Phase
92;0.75;Training2b
93;0.67;Test
93;0.77;Training1
93;0.75;Training2a
93;0.8;Training2b
94;0.53;Test
94;0.59;Training1
94;0.61;Training2a
94;0.63;Training2b
95;0.58;Test
95;0.78;Training1
95;1;Training2a
95;1;Training2b
96;0.64;Test
96;0.56;Training1
96;0.75;Training2a
96;0.82;Training2b
97;0.5;Test
97;0.45;Training1
97;0.67;Training2a
97;0.88;Training2b
98;0.69;Test
98;0.69;Training1
98;0.69;Training2a
98;0.75;Training2b
99;0.89;Test
99;0.78;Training1
99;0.78;Training2a
99;0.88;Training2b
100;0.72;Test
100;0.69;Training1
100;0.75;Training2a
100;0.75;Training2b
101;0.86;Test
101;0.67;Training1
101;0.86;Training2a
101;1;Training2b
102;0.78;Test
102;0.73;Training1
102;0.75;Training2a
102;0.86;Training2b
103;0.81;Test
103;0.7;Training1
103;0.64;Training2a
103;1;Training2b
104;0.69;Test
104;0.67;Training1
104;0.75;Training2a
104;0.86;Training2b
106;0.14;Test
106;0.8;Training1
106;0.86;Training2a
106;1;Training2b
107;0.58;Test
107;0.86;Training1
107;0.86;Training2a
107;0.78;Training2b
108;0.94;Test
108;0.73;Training1
108;0.8;Training2a
108;1;Training2b
109;0.56;Test
109;0.78;Training1
109;0.78;Training2a
109;0.86;Training2b
110;0.83;Test
110;0.8;Training1
110;0.75;Training2a
110;0.77;Training2b
111;0.33;Test
111;0.71;Training1
111;0.67;Training2a
111;0.75;Training2b
112;0.53;Test
112;0.7;Training1
112;0.75;Training2a
112;1;Training2b
113;0.72;Test
113;0.73;Training1
113;0.86;Training2a
113;1;Training2b
114;0.44;Test
114;0.73;Training1
114;0.71;Training2a
114;0.73;Training2b
115;0.47;Test
115;0.67;Training1
115;0.62;Training2a
115;0.69;Training2b
116;0.69;Test
116;0.73;Training1
116;0.7;Training2a
116;0.86;Training2b
117;0.92;Test
117;0.64;Training1
117;0.75;Training2a
117;1;Training2b
118;0.97;Test
118;0.73;Training1
118;1;Training2a
118;0.86;Training2b
119;0.97;Test
119;0.58;Training1
119;0.75;Training2a
119;0.75;Training2b
120;0.89;Test
120;0.64;Training1
120;0.75;Training2a
120;0.78;Training2b
121;0.67;Test
121;0.67;Training1
121;0.75;Training2a
121;0.67;Training2b
122;0.58;Test
122;0.6;Training1
122;0.67;Training2a
122;1;Training2b
123;0.67;Test
123;0.71;Training1
123;0.6;Training2a
123;0.86;Training2b
124;0.56;Test
124;0.69;Training1
124;0.67;Training2a
124;0.86;Training2b
125;0.92;Test
125;0.8;Training1
125;0.6;Training2a
125;0.86;Training2b
126;0.56;Test
126;0.69;Training1
126;0.65;Training2a
126;0.63;Training2b
127;1;Test
127;0.78;Training1
127;0.75;Training2a
127;1;Training2b
128;0.56;Test
128;0.78;Training1
128;0.76;Training2a
128;0.86;Training2b
130;0.67;Test
130;0.69;Training1
130;0.75;Training2a
130;0.86;Training2b
131;0.69;Test
131;0.6;Training1
