AgeGroup_midtesting;Score;Percentage
3;0;71
3;1;9
3;2;12
3;3;7
4;0;55
4;1;7
4;2;15
4;3;22
5;0;45
5;1;0
5;2;27
5;3;27
6;0;100
6;1;0
6;2;0
6;3;0
