ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;Dropout;StoppedGame;Phase;Trial;AverageDistanceAcrossTestTrials;NurseryCode;TestingLocation
9;f;41;3;young;no;no;Test;6;0.783;2;Fife
9;f;41;3;young;no;no;Test;7;0.783;2;Fife
9;f;41;3;young;no;no;Test;8;0.783;2;Fife
9;f;41;3;young;no;no;Test;9;0.783;2;Fife
9;f;41;3;young;no;no;Test;10;0.783;2;Fife
9;f;41;3;young;no;no;Test;11;0.783;2;Fife
9;f;41;3;young;no;no;Test;12;0.783;2;Fife
10;m;44;3;young;yes;yes;Warm-up;1;;2;Fife
10;m;44;3;young;yes;yes;Warm-up;2;;2;Fife
10;m;44;3;young;yes;yes;Test;1;0.4;2;Fife
10;m;44;3;young;yes;yes;Test;2;0.4;2;Fife
10;m;44;3;young;yes;yes;Test;3;0.4;2;Fife
10;m;44;3;young;yes;yes;Test;4;0.4;2;Fife
10;m;44;3;young;yes;yes;Test;5;0.4;2;Fife
11;f;63;5;old;no;no;Warm-up;1;0.5;2;Fife
11;f;63;5;old;no;no;Warm-up;2;0.5;2;Fife
11;f;63;5;old;no;no;Test;1;0.5;2;Fife
11;f;63;5;old;no;no;Test;2;0.5;2;Fife
11;f;63;5;old;no;no;Test;3;0.5;2;Fife
11;f;63;5;old;no;no;Test;4;0.5;2;Fife
11;f;63;5;old;no;no;Test;5;0.5;2;Fife
11;f;63;5;old;no;no;Test;6;0.5;2;Fife
11;f;63;5;old;no;no;Test;7;0.5;2;Fife
11;f;63;5;old;no;no;Test;8;0.5;2;Fife
11;f;63;5;old;no;no;Test;9;0.5;2;Fife
11;f;63;5;old;no;no;Test;10;0.5;2;Fife
11;f;63;5;old;no;no;Test;11;0.5;2;Fife
11;f;63;5;old;no;no;Test;12;0.5;2;Fife
12;f;63;5;old;no;no;Warm-up;1;0.642;2;Fife
12;f;63;5;old;no;no;Warm-up;2;0.642;2;Fife
12;f;63;5;old;no;no;Test;1;0.642;2;Fife
12;f;63;5;old;no;no;Test;2;0.642;2;Fife
12;f;63;5;old;no;no;Test;3;0.642;2;Fife
12;f;63;5;old;no;no;Test;4;0.642;2;Fife
12;f;63;5;old;no;no;Test;5;0.642;2;Fife
12;f;63;5;old;no;no;Test;6;0.642;2;Fife
12;f;63;5;old;no;no;Test;7;0.642;2;Fife
12;f;63;5;old;no;no;Test;8;0.642;2;Fife
12;f;63;5;old;no;no;Test;9;0.642;2;Fife
12;f;63;5;old;no;no;Test;10;0.642;2;Fife
12;f;63;5;old;no;no;Test;11;0.642;2;Fife
12;f;63;5;old;no;no;Test;12;0.642;2;Fife
13;f;42;3;young;no;no;Warm-up;1;1.186;3;Fife
13;f;42;3;young;no;no;Warm-up;2;1.186;3;Fife
13;f;42;3;young;no;no;Test;1;1.186;3;Fife
13;f;42;3;young;no;no;Test;2;1.186;3;Fife
13;f;42;3;young;no;no;Test;3;1.186;3;Fife
13;f;42;3;young;no;no;Test;4;1.186;3;Fife
13;f;42;3;young;no;no;Test;5;1.186;3;Fife
13;f;42;3;young;no;no;Test;6;1.186;3;Fife
13;f;42;3;young;no;no;Test;7;1.186;3;Fife
13;f;42;3;young;no;no;Test;8;1.186;3;Fife
13;f;42;3;young;no;no;Test;9;1.186;3;Fife
13;f;42;3;young;no;no;Test;10;1.186;3;Fife
13;f;42;3;young;no;no;Test;11;1.186;3;Fife
13;f;42;3;young;no;no;Test;12;1.186;3;Fife
14;m;44;3;young;no;no;Warm-up;1;1.025;3;Fife
14;m;44;3;young;no;no;Warm-up;2;1.025;3;Fife
14;m;44;3;young;no;no;Test;1;1.025;3;Fife
14;m;44;3;young;no;no;Test;2;1.025;3;Fife
14;m;44;3;young;no;no;Test;3;1.025;3;Fife
14;m;44;3;young;no;no;Test;4;1.025;3;Fife
14;m;44;3;young;no;no;Test;5;1.025;3;Fife
14;m;44;3;young;no;no;Test;6;1.025;3;Fife
14;m;44;3;young;no;no;Test;7;1.025;3;Fife
14;m;44;3;young;no;no;Test;8;1.025;3;Fife
14;m;44;3;young;no;no;Test;9;1.025;3;Fife
14;m;44;3;young;no;no;Test;10;1.025;3;Fife
14;m;44;3;young;no;no;Test;11;1.025;3;Fife
14;m;44;3;young;no;no;Test;12;1.025;3;Fife
15;f;54;4;old;no;no;Warm-up;1;0.804;4;Edinburgh
15;f;54;4;old;no;no;Warm-up;2;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;1;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;2;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;3;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;4;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;5;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;6;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;7;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;8;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;9;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;10;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;11;0.804;4;Edinburgh
15;f;54;4;old;no;no;Test;12;0.804;4;Edinburgh
17;f;40;3;young;no;no;Warm-up;1;1.605;4;Edinburgh
17;f;40;3;young;no;no;Warm-up;2;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;1;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;2;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;3;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;4;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;5;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;6;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;7;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;8;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;9;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;10;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;11;1.605;4;Edinburgh
17;f;40;3;young;no;no;Test;12;1.605;4;Edinburgh
18;f;44;3;young;no;no;Warm-up;1;0.583;4;Edinburgh
18;f;44;3;young;no;no;Warm-up;2;0.583;4;Edinburgh
18;f;44;3;young;no;no;Test;1;0.583;4;Edinburgh
18;f;44;3;young;no;no;Test;2;0.583;4;Edinburgh
18;f;44;3;young;no;no;Test;3;0.583;4;Edinburgh
18;f;44;3;young;no;no;Test;4;0.583;4;Edinburgh
18;f;44;3;young;no;no;Test;5;0.583;4;Edinburgh
18;f;44;3;young;no;no;Test;6;0.583;4;Edinburgh
18;f;44;3;young;no;no;Test;7;0.583;4;Edinburgh
18;f;44;3;young;no;no;Test;8;0.583;4;Edinburgh
