ID;Gender;Age_months;Age_group;AdditionalSupportNeeds;AgeMonths_midtesting;AgeGroup_midtesting;TestingLocation;BPVS_Score;Mediansplit_midtesting_entiresample;Dropout;StoppedGame;Phase;Trial;Nr_Searches_UntilRewardFound (4= did not find);Grid_Choices;2ndTaskCorrect;Comment;choice01;choice01_x;choice01_y;toy_x;toy_y;distance_c01;choice02;choice03;AverageDistanceAcrossTestTrials;Got_Toy (1 = yes, 0 = no);Cumulative_SumofToys_TestTrials;Cumulative_Average_Distance;Video;
3;m;43;3;no information;44;3;Fife;91;young;no;no;Test;3;2;2, 3;yes;;2;2;1;3;1;1.0000;3;;0.971;1;2;1.079;ID3_WM_Grid_m_3y;
3;m;43;3;no information;44;3;Fife;91;young;no;no;Test;4;4;13, 14, 15;yes;;13;1;4;1;3;1.0000;14;15;0.971;0;2;1.059;ID3_WM_Grid_m_3y;
3;m;43;3;no information;44;3;Fife;91;young;no;no;Test;5;3;3, 4, 2;yes;2. choice corrected;3;3;1;2;1;1.0000;4;2;0.971;1;3;1.047;ID3_WM_Grid_m_3y;
3;m;43;3;no information;44;3;Fife;91;young;no;no;Test;6;4;4, 3, 2;yes;;4;4;1;4;3;2.0000;3;2;0.971;0;3;1.206;ID3_WM_Grid_m_3y;
3;m;43;3;no information;44;3;Fife;91;young;no;no;Test;7;1;10;yes;;10;2;3;2;3;0.0000;;;0.971;1;4;1.034;ID3_WM_Grid_m_3y;
3;m;43;3;no information;44;3;Fife;91;young;no;no;Test;8;1;15;no;;15;3;4;3;4;0.0000;;;0.971;1;5;.905;ID3_WM_Grid_m_3y;
3;m;43;3;no information;44;3;Fife;91;young;no;no;Test;9;2;4, 8;yes;;4;4;1;4;2;1.0000;8;;0.971;1;6;.915;ID3_WM_Grid_m_3y;
3;m;43;3;no information;44;3;Fife;91;young;no;no;Test;10;2;2, 6;yes;;2;2;1;2;2;1.0000;6;;0.971;1;7;.924;ID3_WM_Grid_m_3y;
3;m;43;3;no information;44;3;Fife;91;young;no;no;Test;11;2;7,11;yes;;7;3;2;3;3;1.0000;11;;0.971;1;8;.931;ID3_WM_Grid_m_3y;
3;m;43;3;no information;44;3;Fife;91;young;no;no;Test;12;4;10, 14, 11;yes;;10;2;3;3;2;1.4142;14;11;0.971;0;8;.971;ID3_WM_Grid_m_3y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Warm-up;1;1;7;;;7;3;2;3;2;0.0000;;;1.358;1;;;ID4_WM_Grid_m_5y;
4;m;62;5;no information;63;5;Fife;112;old;no;no;Warm-up;2;2;13, 14;;;13;1;4;2;4;1.0000;14;;1.358;1;;;ID4_WM_Grid_m_5y;
