ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;TestingLocation;WMUpdating;WMBoxes;WMGrid;CD_all;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
48;m;44;3;young;Fife;0.833333333;0.25;0.7020127;0.458;0.75;0.64;0.833333333;0.5;0.667
49;m;38;3;young;Fife;0.833333333;;;;;;;;0.333
50;f;45;3;young;Fife;0.666666667;;;;;0.18;;;0.667
51;f;43;3;young;Fife;1;0.5;0.7497285;1.000;0.76;0.27;0.583333333;0.416666667;0.667
52;f;43;3;young;Fife;0.666666667;0.5;0.6504811;0.652;0.71;;0.833333333;0.5;0.167
53;f;44;3;young;Fife;0.666666667;0.5;0.8735237;0.333;0.86;1;;0.916666667;0
54;m;52;4;old;Edinburgh;0.833333333;0.75;0.8558681;0.625;0.62;0.45;0.916666667;0.583333333;0.667
55;m;44;3;young;Edinburgh;0.666666667;0.25;0.7769573;0.375;0.82;0.7;0.666666667;0.833333333;0.5
56;m;44;3;young;Edinburgh;0.666666667;0.75;0.7497285;0.458;0.71;0.91;0.916666667;0.916666667;0.833
58;m;51;4;old;Edinburgh;1;0.5;0.8517517;0.9;0.78;0.55;0.833333333;0.75;0.5
59;m;53;4;old;Edinburgh;0.666666667;0.75;0.8558681;0.875;0.73;0.91;0.916666667;1;0.5
60;m;49;4;young;Edinburgh;0.833333333;0.375;0.707985;0.375;0.73;0.64;0.916666667;0.166666667;0.667
62;f;47;3;young;Edinburgh;0.666666667;0.375;0.7307323;0.75;0.56;0.27;0.916666667;0.333333333;0.5
64;m;38;3;young;Edinburgh;0.666666667;0.75;0.7061291;0.458;1;0.64;0.583333333;0.5;0.833
65;m;36;3;young;Edinburgh;1;0.25;0.8000699;0.857;0.77;0.18;0.75;0.333333333;0.5
66;m;56;4;old;Fife;0.666666667;0.5;0.8150999;0.5;0.7;0.36;0.333333333;;0.833
67;m;49;4;young;Fife;0.5;0.75;0.7117362;0.474;0.88;0.36;;0.416666667;0.833
68;f;50;4;old;Fife;1;0.5;0.7769573;0.375;0.47;0;0.833333333;0.916666667;0.833
69;m;54;4;old;Fife;1;0.5;0.7252755;0.667;0.71;0.36;0;0.416666667;0.333
70;f;52;4;old;Fife;1;0.5;0.610961;0.826;0.73;0.55;0.75;1;0.5
71;f;52;4;old;Fife;0.833333333;0.125;0.7593017;0.375;0.9;0.55;0;0.75;0
72;m;60;5;old;Fife;0.833333333;0.5;0.8844375;0.292;0.75;0.82;0.833333333;0.916666667;0.5
73;m;40;3;young;Edinburgh;0.833333333;0.625;0.66176;0.5;0.83;0.45;0.666666667;0.75;0.833
74;f;38;3;young;Edinburgh;1;0.125;0.5845549;0.5;0.86;0.64;0.916666667;0.416666667;0.167
75;f;40;3;young;Fife;0.666666667;0.25;0.8735237;0.417;0.8;0.36;0.916666667;;0.667
76;m;52;4;old;Fife;1;0.5;0.726616;0.583;0.88;0.55;0.75;1;0
77;f;42;3;young;Fife;1;0.375;0.7211591;0.333;0.75;0.45;0.75;0.666666667;0.667
78;m;43;3;young;Fife;1;0.5;;0.292;0.67;0.82;;0.916666667;0.5
79;f;46;3;young;Fife;1;0.625;0.7904967;0.875;0.82;0.82;0.833333333;0.916666667;0.667
80;f;45;3;young;Fife;0.666666667;0.25;0.6800836;0.333;0.86;0.45;0.916666667;0.25;0.667
81;m;44;3;young;Fife;0.666666667;0.25;;0.636;0.67;0.27;;0.833333333;1.000
82;f;42;3;young;Fife;0.666666667;0.5;;;0.86;0.45;;1;0.5
83;f;52;4;old;Fife;0.666666667;0.25;;;0.73;0.45;;0.833333333;0.167
84;f;52;4;old;Fife;0.833333333;0.375;0.732438;0.889;0.79;0.55;;0.333333333;0.333
85;f;36;3;young;Fife;0.666666667;;;;;0.73;;;0.333
86;m;52;4;old;Fife;0.666666667;0.75;;;0.86;0.73;;0.833333333;0.667
87;f;54;4;old;Fife;0.666666667;0.25;0.7593017;1.000;0.8;1;0.916666667;1;0.833
88;m;39;3;young;Fife;0.833333333;0.875;;0.458;0.53;0.18;;0.25;0.5
89;m;45;3;young;Fife;0.666666667;0.625;0.7208517;0.682;0.71;0.55;0.666666667;0.833333333;0.5
91;f;40;3;young;Fife;0.666666667;0.625;0.763633;0.417;0.62;0.27;0;0.333333333;0.5
92;m;51;4;old;Fife;0.833333333;0.375;0.8789806;0.5;0.73;1;0.833333333;0.416666667;0.333
93;f;46;3;young;Fife;0.666666667;0.25;0.794613;0.542;0.54;0.55;;0.75;0.833
94;f;47;3;young;Fife;0.5;0.5;0.5919648;0.458;0.64;0.18;0.916666667;0.333333333;0.333
95;f;47;3;young;Fife;0.833333333;0.25;0.7252755;0.417;0.73;0.55;0.916666667;0.583333333;0
96;m;56;4;old;Fife;0.833333333;0.375;0.7824142;1.000;0.63;0.55;0.833333333;0.833333333;0.833
97;m;55;4;old;Fife;0.833333333;0.375;0.8421785;0.375;0.78;0.55;0;0.416666667;0.167
98;f;47;3;young;Fife;0.5;0.375;0.6313347;;0.66;0.64;0.916666667;0.75;0.333
99;f;47;3;young;Fife;0.5;0.5;0.7538448;0.542;0.67;0.91;0;0.75;
100;m;59;4;old;Fife;1;0.25;0.8096431;0.208;0.65;0.64;0.916666667;0.416666667;0.667
101;m;53;4;old;Edinburgh;0.666666667;0.625;0.8844375;0.875;0.75;0.82;0.833333333;0.25;0.833
102;m;49;4;young;Edinburgh;0.833333333;0.375;0.8383493;0.583;0.63;0.73;0.833333333;1;0.833
103;m;51;4;old;Edinburgh;0.666666667;0.75;0.732438;0.5;0.75;0.82;0.833333333;1;0.5
104;m;49;4;young;Edinburgh;0.833333333;0.75;0.7497285;0.818;0.79;0.64;0.833333333;0.916666667;0.5
105;m;55;4;old;Edinburgh;0.666666667;0.875;0.9306625;0.458;0.53;;0.75;0.916666667;1.000
106;f;47;3;young;Edinburgh;0.833333333;0.375;0.7579612;0.625;0.75;0.09;0.5;0.666666667;0.667
107;f;53;4;old;Edinburgh;0.666666667;0.625;0.6600543;0.565;0.56;0.27;0.5;0.333333333;0.667
108;f;58;4;old;Edinburgh;0.5;0.375;0.9306625;0.583;0.75;1;0.916666667;0.916666667;0.667
109;m;42;3;young;Edinburgh;0.5;0.625;0.5828492;0.5;0.56;0.36;0.5;0.5;0.333
110;f;43;3;young;Edinburgh;0.833333333;0.75;0.8748642;0.727;0.89;0.73;0.5;0.583333333;0.167
111;f;47;3;young;Edinburgh;0.666666667;0.625;0.7632678;0.5;0.57;0.27;0.75;0.916666667;0.5
112;f;48;4;young;Edinburgh;0.833333333;0.375;0.6164179;0.375;0.75;0.36;0.5;0.25;0.833
