ID;Gender;Age_months;Age_groups;AdditionalSupportNeeds;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;TestingLocation;dropout;Reason_dropout;How_many_trials_valid;Trial;NumberSearches_AcrossPlatforms;Emptied_all_boxes;Number.Boxes.Emptied;Efficiency;nr_redundant_searches;ProportionCorrect_AcrossBothtrials;Platform1_WhichBox;Platform1_Position;Platform2_WhichBox;Platform2_Position;Strategy;Video;FirstEightSearches_inRespectiveTrial_EmptiedAllBoxes;FirstEightSearches_inRespectiveTrial_NumberBoxesEmptied_AcrossBothPlatforms;SearchesThreetoEight_NrBoxesEmptied_InRespectiveTrial_AcrossBothPlatforms;FirstEightSearches_inRespectiveTrial_Efficiency;SearchesThreetoEight_Efficiency_InRespectiveTrial_AcrossBothPlatforms;SearchesThreetoEight_ProportionCorrect_AcrossBothTrials_orInTrial1ForKidswithOnlyOneValidTrial;FirstEightSearches_ProportionCorrect_AcrossBothtrials_orInTrial1_ForKids_withOnly1ValidTrial;"P1P2_trial_correct (""correct"" meaning here that there were no redundant searches on either platform, i.e., efficiency = 1), yes = 1, no = 0";FirstFourSearchesOnPlatform1_NumberOfBoxesEmptied;Comment
140;f;52;4;no information;53;4;old;Fife;no;;1 and 2;1;9;yes;8;0.888888889;1;0.736;yellow;2;purple;4;no;ID140_WM_InterferenceIB_f_4y;no;7;5;0.875;0.833333333;0.666;0.75;0;3;
140;f;52;4;no information;53;4;old;Fife;no;;1 and 2;2;12;no;7;0.583333333;5;0.736;purple;4;yellow;1;no;ID140_WM_InterferenceIB_f_4y;no;5;3;0.625;0.5;0.666;0.75;0;3;
134;m;58;4;no information;59;4;old;Fife;no;;1 and 2;1;9;yes;8;0.888888889;1;0.794;blue;3;yellow;2;no;ID134_WM_InterferenceIB_m_4y;no;7;5;0.875;0.833333333;0.75;0.8125;0;3;
134;m;58;4;no information;59;4;old;Fife;no;;1 and 2;2;10;no;7;0.7;3;0.794;blue;3;purple;4;no;ID134_WM_InterferenceIB_m_4y;no;6;4;0.75;0.666666667;0.75;0.8125;0;3;
133;f;64;5;no;64;5;old;Fife;no;;1 and 2;1;12;no;7;0.583333333;5;0.479;yellow;2;blue;3;no;ID133_WM_InterferenceIB_f_5y;no;5;3;0.625;0.5;0.666;0.75;0;3;
133;f;64;5;no;64;5;old;Fife;no;;1 and 2;2;8;no;7;0.875;1;0.479;blue;3;green;3;no;ID133_WM_InterferenceIB_f_5y;no;7;5;0.875;0.833333333;0.666;0.75;0;4;
117;m;64;5;no;65;5;old;Fife;no;;1 and 2;1;8;no;7;0.875;1;0.707;yellow;2;yellow;2;no;ID117_WM_InterferenceIB_m_5y;no;7;5;0.875;0.833333333;0.75;0.812;0;4;
117;m;64;5;no;65;5;old;Fife;no;;1 and 2;2;13;no;7;0.538461538;6;0.707;yellow;1;yellow;1;no;ID117_WM_InterferenceIB_m_5y;no;6;4;0.75;0.666666667;0.75;0.812;0;3;
143;f;43;3;no;44;3;young;Fife;no;;1 and 2;1;16;no;7;0.4375;9;0.51;green;4;yellow;2;no;ID143_WM_InterferenceIB_f_3y;no;5;3;0.625;0.5;0.583;0.6875;0;3;
143;f;43;3;no;44;3;young;Fife;no;;1 and 2;2;12;no;7;0.583333333;5;0.51;blue;3;yellow;1;no;ID143_WM_InterferenceIB_f_3y;no;6;4;0.75;0.666666667;0.583;0.6875;0;3;
