ID;Sex;Age_months;Midtesting_age_months;Age_group;Midtesting_age_group;Mediansplit_midtesting_entiresample;AdditionalSupportNeeds;Experimenter;TestingLocation;CleanData;Dropout?;Reason_Dropout;Issue;BPVS_Score;CleanData_for_First6UniqueSearches_notcountingredundantsearches;CleanData_for_First6UniqueSearches_punishingredundantsearchestotransparentdoors;CleanData_for_First2Min;Comments;ReceivedHelpFromE;FinishedTask;Trial;DoesEMoveBoxTowardsChild_atBeginningOfTrial;IfMove_DoesVideoShowTheEntireMove;DoorWobble;IfWobble_DoesChildSee;Comment_on_WobblingDoor;SearchNr;PositionOfBoxTouched;TypeOfBox;TriedTransparentBox;SixUniqueSearches_PunishingRepeatedVisitsToTransparentDoors;TouchedThisBoxBefore_NotCountingRepeatedVisits;Got_toy;Trial_comments;NoRedundantSearchesPunished_2Phases_HowManyTrials;NoRedundantSearchesPunished_2Phases_HowmanyTransparentBoxesTouched;NoRedundantSearchesPunished_2Phases_ProportionTransparentBoxesTouched;RedundantSearchesToTransparentDoorsPunished_2Phases_HowManyTrials;RedundantSearchesToTransparentDoorsPunished_2Phases_HowmanyTransparentBoxesTouched;RedundantSearchesToTransparentDoorsPunished_2Phases_ProportionTransparentBoxesTouched;Latency_ToGet6UniqueSearches_noredundantsearchescounted;NrCorrectChoicesWithinFirst6Unique_WhileCountingRepeatedVisitsToTransparentDoors;NrCorrectChoicesWithinFirst6UniqueChoices_not countingredundantsearchestotransparentboxes;NrErrorsWithinFirst6UniqueChoices;ProportionCorrectOutOfFirstSixUniqueSearches;ProportionCorrect_PunishingForRepeatedVisitsToTransparentDoors;FirstBoxTouched;DurationFromFirstTouchUntilAllToysRetrievedinSec;FoundAllToys;NrSearchesUntilAllToysFound;NrOfTimesATransparentDoorWasTouched_repeatsarecounted;NrOfTransparentBoxesTouchedAfterFirstAnimal_repeatsarecounted;Latency_tofirstrewardinSec_from_first_touch_of_a_door;Latency_to_first_opaque_door_touched_in_sec;Video;First2Min_BoxNr;First2Min_PosBox;First2Min_TypeBox;First2Min_TouchedBefore;First2Min_GotToy;First2Min_NrUniqueSearches;First2Min_NrCorrectTrialsWithinFirst6Searches;First2Min_PropCorrect;AfterFirstAnimalWasFound_HowManyTransparentDoorsAreTouched_WithinTheNext6Searches;AfterFirstAnimalWasFound_HowManyTransparentDoorsAreTouched_WithinTheNext6Searches_redundantsearchesofopaquedoorsareignored
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;12;7;opaque;0;;yes;no, doesn't open door;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;13;13;opaque;0;;no;yes;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;14;15;opaque;0;;no;yes;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;15;7;opaque;0;;yes;yes;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;16;12;opaque;0;;no;yes;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;17;5;opaque;0;;no;yes;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;1;no;;no;;;18;2;opaque;0;;no;yes;;11;4;0.363636364;11;6;0.545454545;222;0;2;4;0.333;0;transparent;254;yes;18;10;0;230;80;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;0
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;1;2;opaque;0;no;no;yes;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;1;2;opaque;no;yes;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;2;7;opaque;0;no;no;no, animal got stuck in box (but will count as yes);;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;2;7;opaque;no;no, animal got stuck in box (but will count as yes);6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;3;5;opaque;0;no;no;yes;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;3;5;opaque;no;yes;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;4;9;opaque;0;no;no;yes;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;4;9;opaque;no;yes;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;5;15;opaque;0;no;no;yes;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;5;15;opaque;no;yes;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;6;7;opaque;0;yes;yes;no, animal got stuck in box;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;6;7;opaque;yes;no, animal got stuck in box;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;7;2;opaque;0;yes;yes;;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;7;2;opaque;yes;;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;8;10;transparent;1;no;no;;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;8;10;transparent;no;;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;9;16;transparent;1;;no;;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;9;16;transparent;no;;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;10;7;opaque;0;;yes;no, animal got stuck in box;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;10;7;opaque;yes;no, animal got stuck in box;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;11;3;transparent;1;;no;;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;11;3;transparent;no;;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;12;7;opaque;0;;yes;no, animal got stuck in box;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;12;7;opaque;yes;no, animal got stuck in box;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;13;10;transparent;1;;yes;;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;13;10;transparent;yes;;6;5;0.833333333;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;14;9;opaque;0;;yes;;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;15;4;transparent;1;;no;;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;16;7;opaque;0;;yes;yes;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;1
1;m;62;62;5;5;old;no;Eva;Fife;yes;no;;;77;yes;yes;yes;;no;yes;2;no;;no;;;17;1;opaque;0;;no;yes;;6;1;0.166666667;6;1;0.166666667;50;5;5;1;0.833;0.833;opaque;173;yes;17;5;5;2;1;ID1_Inhibition_Grid_m_5y;;;;;;;;;0;1
